numberofprocesses,size,zeros,multiplications,CSR construction,Broadcast time,Compute time (CSR),Total time (CSR),Total time (Dense)
52,100,20,5,0.000130,0.019520,0.038171,0.057822,0.005169
52,100,20,10,0.000156,0.030033,0.042471,0.072660,0.010312
52,100,20,15,0.000133,0.019671,0.052625,0.072430,0.015409
52,100,40,5,0.000169,0.020115,0.038203,0.058488,0.005170
52,100,40,10,0.000168,0.020604,0.039793,0.060565,0.008572
52,100,40,15,0.000165,0.020526,0.046967,0.067658,0.015219
52,100,60,5,0.000157,0.020657,0.033635,0.054449,0.005184
52,100,60,10,0.000157,0.020709,0.037742,0.058608,0.009586
52,100,60,15,0.000161,0.020808,0.043896,0.064866,0.015536
52,100,80,5,0.000096,0.021000,0.030729,0.051826,0.004982
52,100,80,10,0.000111,0.021712,0.035789,0.057613,0.010345
52,100,80,15,0.000107,0.031248,0.031854,0.063209,0.012932
52,1000,20,5,0.012643,0.100561,1.037310,1.150517,0.016482
52,1000,20,10,0.012425,0.098475,0.943682,1.054584,0.032743
52,1000,20,15,0.012391,0.094545,0.955091,1.062030,0.049535
52,1000,40,5,0.016357,0.093636,0.810336,0.920331,0.020761
52,1000,40,10,0.016237,0.094783,0.815928,0.926951,0.032438
52,1000,40,15,0.016420,0.081529,0.837742,0.935693,0.076592
52,1000,60,5,0.015635,0.068415,0.675841,0.759894,0.016550
52,1000,60,10,0.015615,0.072742,0.670704,0.759063,0.033194
52,1000,60,15,0.015684,0.068531,0.689890,0.774106,0.049548
52,1000,80,5,0.009295,0.056266,0.510721,0.576283,0.016406
52,1000,80,10,0.009330,0.057264,0.556034,0.622629,0.033934
52,1000,80,15,0.009343,0.062470,0.557919,0.629735,0.049818
52,10000,20,5,1.247683,99.832012,0.807113,101.886817,0.139153
52,10000,20,10,1.248308,100.368874,0.912309,102.529500,0.275942
52,10000,20,15,1.253909,101.894931,1.070189,104.219041,0.414052
52,10000,40,5,1.635054,98.947965,0.939101,101.522131,0.138913
52,10000,40,10,1.629696,90.209503,1.090904,92.930113,0.276346
52,10000,40,15,1.633146,86.721220,1.034248,89.388638,0.415153
52,10000,60,5,1.571725,67.902916,0.756187,70.230838,0.138903
52,10000,60,10,1.570638,67.871394,0.892299,70.334343,0.275906
52,10000,60,15,1.572240,68.051880,1.009486,70.633617,0.415548
52,10000,80,5,0.934980,53.467131,0.748693,55.150813,0.140422
52,10000,80,10,0.940095,61.601795,1.051885,63.593787,0.279268
52,10000,80,15,0.936291,53.395535,1.003484,55.335320,0.413808
